zip_code,price_2024,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods,bedroom_data_reliable,price_3bed_clean,price_4bed_clean,price_5bed_clean,low_pop_flag,population_2023_clean,pop_change_pct_clean,rent_imputed,monthly_rent_final,pct_change_1yr_ann,pct_change_3yr_ann,pct_change_5yr_ann,pct_change_1yr_w,pct_change_3yr_w,pct_change_5yr_w,permit_growth_pct_w,income_growth_pct_w,pop_change_pct_w,price_blend_raw,score_price_blend,score_price_1yr_ann,score_price_3yr_ann,score_price_5yr_ann,score_income_growth,score_pop_change,score_permit_growth,score_permit_volume,score_rent_level,score_pct_renter,investment_score_raw,investment_score,rank,score_tier,is_mpls_city
55410,549531.2859575973,2.5438682953845544,11.565196994385078,17.93194846422374,145038.3108472747,25.29180392896987,4.945218471887333,4347.658931462493,22.682469268636396,6.823885590933621,17.10227950829454,3.220398450897026,880,2505.361904761905,2026-03-31,214821.10637104817,434658.5480367777,558422.2725212041,774118.5872722544,1200029.6747789572,985208.568407909,102.33512217650387,28.473781326383666,TRUE,TRUE,TRUE,TRUE,TRUE,100,Fulton / Linden Hills / Armatage,TRUE,558422.2725212041,774118.5872722544,1200029.6747789572,FALSE,4347.658931462493,4.945218471887333,FALSE,2505.361904761905,2.5438682953845544,3.7153201342379205,3.3537633208305273,2.5438682953845544,3.7153201342379205,3.3537633208305273,17.10227950829454,25.29180392896987,4.945218471887333,3.214922787287394,76.63328080364937,83.46033628956826,76.78492860105321,50.0572458271453,27.185187601007637,54.43515172259313,23.38612080790796,31.354581673306775,65.06463091720059,82.9143874176925,52.788886991450426,52.788886991450426,11,Moderate Opportunity,TRUE
55418,336064.3484605675,2.2422494057811195,7.574136049446545,22.365656568057656,96958.857418882,40.28605110079206,2.1024791682752224,3362.042824843729,35.452222196120445,5.616510093943634,33.610652669073794,177.47217180501082,824.3333333333334,1745.288888888889,2026-03-31,178008.79879643905,288096.46581329947,358632.55308964197,413520.8616038197,467966.8490680908,289958.0502716517,61.84394690666417,24.483496205765093,TRUE,TRUE,TRUE,TRUE,TRUE,100,Bottineau / Holland / Audubon Park / Windom Park / Columbia Park / Waite Park / Marshall Terrace,TRUE,358632.55308964197,413520.8616038197,467966.8490680908,FALSE,3362.042824843729,2.1024791682752224,FALSE,1745.288888888889,2.2422494057811195,2.463524137783857,4.119460460585689,2.2422494057811195,2.463524137783857,4.119460460585689,33.610652669073794,40.28605110079206,2.1024791682752224,2.8000620622833567,69.19123039445707,77.26212203610135,58.613904721284385,63.1012075990076,65.6429642255396,38.08767215090385,34.8629672553625,29.136786188579016,27.6742424178328,64.98984531835495,52.01258971747796,52.01258971747796,12,Moderate Opportunity,TRUE
55411,235309.34276159512,1.366478542248716,5.0763141350676655,25.311285185698303,57115.73294059891,41.34411961039279,-4.670738534596333,2416.684610624945,43.8289779628812,5.612449680903288,46.920825538062616,47.2990450338593,941.6666666666669,1899.0317460317465,2026-03-31,NA,193295.42475815947,239447.25412304708,267701.8462131102,284047.19547757483,NA,NA,23.87631751896364,TRUE,TRUE,TRUE,TRUE,TRUE,100,Sumner - Glenwood / Jordan / Hawthorne / Willard - Hay / Near - North,TRUE,239447.25412304708,267701.8462131102,284047.19547757483,FALSE,2416.684610624945,-4.670738534596333,FALSE,1899.0317460317465,1.366478542248716,1.664253657642134,4.615982196587498,1.366478542248716,1.664253657642134,4.615982196587498,46.920825538062616,41.34411961039279,-4.52076340142192,2.2979645019907786,60.184267023813874,59.265187373771234,47.0117243163381,71.55965703944467,68.35673584270651,0,44.11638118771689,33.811420982735726,35.2373383803589,53.231629458594014,48.41503619656474,48.41503619656474,13,Watch List,TRUE
55409,349760.8775666332,2.1341666656820157,3.718338892787703,12.89461880866818,101223.64277631084,33.39872619567825,-3.6157202441204976,3447.794794417201,35.3424230864467,5.856393813655225,72.68947187928669,192.94275822665708,431.66666666666663,1557.5925925925928,2026-03-31,156809.51949707547,277157.266893908,391035.5965904246,494979.6911173654,601507.2721932711,444697.7526961956,76.7477304839755,41.08798263626539,TRUE,TRUE,TRUE,TRUE,TRUE,100,King Field / Bryant,TRUE,391035.5965904246,494979.6911173654,601507.2721932711,FALSE,3447.794794417201,-3.6157202441204976,FALSE,1557.5925925925928,2.1341666656820157,1.2243937133578298,2.4553516607091153,2.1341666656820157,1.2243937133578298,2.4553516607091153,72.68947187928669,33.39872619567825,-3.6157202441204976,1.8505537335091162,52.158312065981704,75.04104105169473,40.62673381150773,34.752438297413306,47.978109184387584,5.204548481347819,62.031096001628306,13.492695883134129,18.44086971304064,65.14396723245878,48.16404842229481,48.16404842229481,14,Watch List,TRUE
55443,373441.41982495546,0.6605616502611932,11.86949626538946,28.582480758833707,106513.47886734548,28.82911436061377,8.96582516743622,3004.411991531831,18.064399973648804,6.694810991770121,NA,NA,NA,1495.3452380952378,2026-03-31,NA,288201.6597825918,353133.51343693415,449590.06881397095,501137.4914857347,NA,NA,22.530006837338977,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,353133.51343693415,449590.06881397095,501137.4914857347,FALSE,3004.411991531831,8.96582516743622,FALSE,1495.3452380952378,0.6605616502611932,3.8095306536432894,5.156557468680156,0.6605616502611932,3.8095306536432894,5.156557468680156,NA,28.82911436061377,8.96582516743622,3.044148206218772,73.56981163358269,44.75872145768457,78.15248497820224,80.76857636000709,36.257806777743255,77.55608502019349,NA,NA,15.378726051696907,89.39664106549053,47.65695833533938,47.65695833533938,15,Watch List,FALSE
55436,594966.2407256236,3.4010070455502257,16.882735200137127,23.454510835176748,144098.86978774652,28.799650841359455,8.806276948010396,5530.626524160771,23.103398225167325,7.08083697124793,NA,NA,NA,1741.3989898989896,2026-03-31,143517.42732685758,268328.48975867545,608807.5212840202,823824.2249869289,1258883.2452605795,1115365.817933722,86.96578858507796,126.88888601861052,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,608807.5212840202,823824.2249869289,1258883.2452605795,FALSE,5530.626524160771,8.806276948010396,FALSE,1741.3989898989896,3.4010070455502257,5.337608765595503,4.304103009423232,3.348725113614784,5.314598943559839,4.304103009423232,NA,28.799650841359455,8.806276948010396,4.373919119544918,97.42413568306834,100,100,66.24666841301334,36.1822376992113,76.63858574249014,NA,NA,27.482886019936505,82.32354131087942,45.37193765231537,45.37193765231537,16,Watch List,FALSE
55422,325551.41127484775,1.8545325844079263,10.761965563609358,27.378703948635707,99761.87267284804,38.16348699029508,-0.32797730672732994,4325.545228882237,26.952657745729265,6.256625538439074,NA,NA,NA,1676.9166666666667,2026-03-31,194775.924435767,280682.758960191,336778.04797030403,414693.965643129,540478.610083175,345702.685647408,44.105468770476435,19.985299139114204,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,336778.04797030403,414693.965643129,540478.610083175,FALSE,4325.545228882237,-0.32797730672732994,FALSE,1676.9166666666667,1.8545325844079263,3.4658153929587376,4.95892286780184,1.8545325844079263,3.4658153929587376,4.95892286780184,NA,38.16348699029508,-0.32797730672732994,3.2751432786767296,77.71355643731272,69.29461067862684,73.163127105648,77.40179066262505,60.198936559639705,24.111069539296413,NA,NA,24.31079719866835,76.9204442643352,45.229058354560266,45.229058354560266,17,Watch List,FALSE
55437,375127.6013023384,1.990583118916484,12.578762571639125,25.84061227210814,94944.77024698448,37.07257443188493,3.803069090188609,1282.2802337118287,28.970311433955924,6.345031591039632,NA,NA,NA,1637.3005698005695,2026-03-31,155886.25494833893,280922.7303418739,391503.3917539545,475567.8647278068,535804.4052162193,379918.1502678803,80.21007075638089,39.363372724416976,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,391503.3917539545,475567.8647278068,535804.4052162193,FALSE,1282.2802337118287,3.803069090188609,FALSE,1637.3005698005695,1.990583118916484,4.02845700922454,4.704214862675871,1.990583118916484,4.02845700922454,4.704214862675871,NA,37.07257443188493,3.803069090188609,3.484140610979553,81.46269099896396,72.09042483765202,81.33041177014468,73.0627363429069,57.40092536191342,47.86709827449365,NA,NA,22.36195646663606,74.0883206765198,44.6269660800471,44.6269660800471,18,Watch List,FALSE
55445,343263.9609724031,0.933024183375126,12.270486530268045,29.750266923332227,99667.38028169012,30.805262263741383,6.8439958510572545,7518.162076939247,25.821319175858733,6.2696237124237975,NA,NA,NA,NA,NA,NA,224305.52156013896,355926.7600918908,409171.7121634779,468950.95490882295,NA,NA,58.67944650504854,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,355926.7600918908,409171.7121634779,468950.95490882295,FALSE,7518.162076939247,6.8439958510572545,TRUE,1716.3198048620156,0.933024183375126,3.9334160000003227,5.346873721038969,0.933024183375126,3.9334160000003227,5.346873721038969,NA,30.805262263741383,6.8439958510572545,3.2366432944411656,77.0229178538908,50.357777798296645,79.95080003383734,84.0106910179334,41.3263009651899,65.35427623665775,NA,NA,26.24916182213305,78.50847231306928,44.24882102120523,44.24882102120523,19,Watch List,FALSE
55447,471525.99053040333,1.5218037851162292,14.680637561563197,30.760180914809325,122052.45569620254,28.969399992232304,-0.2908636445292462,4510.241793606522,24.222902998639505,6.546170349710363,NA,NA,NA,1826.7310606060607,2026-03-31,NA,281571.9002271403,463475.3209742158,613449.9683723928,750519.2221937048,NA,NA,64.60283167472906,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,463475.3209742158,613449.9683723928,750519.2221937048,FALSE,4510.241793606522,-0.2908636445292462,FALSE,1826.7310606060607,1.5218037851162292,4.671882013489359,5.51035944366618,1.5218037851162292,4.671882013489359,5.51035944366618,NA,28.969399992232304,-0.2908636445292462,3.7789739911029683,86.7516102553473,62.457093343355666,90.67034507433738,86.79573670437347,36.617616338209594,24.3244956645281,NA,NA,31.680639668022803,80.7521240284571,42.4246296456523,42.4246296456523,20,Watch List,FALSE
55442,452105.25775420835,1.9734829905729991,15.158837148993204,30.07417539355073,126620.43438608343,24.316792270402576,2.3065296214386377,4401.569836176322,22.83257941868872,6.871727748691099,NA,NA,NA,2020.5,2026-03-31,202299.29331117027,288501.742017206,479406.3383305585,552389.7777101869,643871.8541327232,441572.5608215529,42.61134445657299,66.1710376438445,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,479406.3383305585,552389.7777101869,643871.8541327232,FALSE,4401.569836176322,2.3065296214386377,FALSE,2020.5,1.9734829905729991,4.817168495340618,5.3994188492572315,1.9734829905729991,4.817168495340618,5.3994188492572315,NA,24.316792270402576,2.3065296214386377,3.9674411571511046,90.13246090153511,71.73902025760714,92.77931821261639,84.90581861890077,24.68444313936098,39.26108633293749,NA,NA,41.21274483653502,82.70368203291095,42.042052999510204,42.042052999510204,21,Watch List,FALSE
55403,206641.9072821778,-10.50019049919968,-18.56638534904091,-15.524615267754738,63373.315575007546,46.3321238207359,9.18934411070236,3614.3955475601538,75.49649358413456,2.962881074554784,54.05060223489401,920.7034991535486,1750.6666666666667,1402.0286195286196,2026-03-31,152542.60732556044,282129.79085716273,551162.0805428018,1010704.9300698256,1255230.8040522828,1102688.1967267224,84.9514675300088,95.35763269389912,TRUE,TRUE,TRUE,TRUE,TRUE,100,Loring Park / Steven's Square - Loring Heights / Lowry Hill,FALSE,NA,NA,NA,FALSE,3614.3955475601538,9.18934411070236,FALSE,1402.0286195286196,-10.50019049919968,-6.616982298310892,-3.3179087549957686,-1.5174972734981935,-1.574368924936459,0.41533934932314054,54.05060223489401,46.3321238207359,9.18934411070236,-1.057036778368166,0,0,0,0,81.15014584358278,78.84145485846389,49.073099306288356,66.04249667994688,10.788187315565667,8.780830750273125,41.49118297546257,41.49118297546257,22,Watch List,TRUE
55423,328775.7845088377,2.8339984990828153,11.735944880661227,27.0943847236618,86906.59016811004,43.257579695523624,2.1858845491479615,3299.206455793132,38.242604914415466,5.1139836984207845,NA,NA,NA,1320.3768115942028,2026-03-31,149147.0233201049,305656.94256401696,350155.27957057516,391831.58022545953,427225.8345332648,278078.81121315993,104.93666971013202,14.558261504967597,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,350155.27957057516,391831.58022545953,427225.8345332648,FALSE,3299.206455793132,2.1858845491479615,FALSE,1320.3768115942028,2.8339984990828153,3.7682044426934347,4.912025673618059,2.8339984990828153,3.7682044426934347,4.912025673618059,NA,43.257579695523624,2.1858845491479615,3.727187670160874,85.8226324376618,89.42246010180097,77.55259524524467,76.60287791190424,73.26444609255543,38.56730380698065,NA,NA,6.771477398773058,61.07306378065629,41.34905379106129,41.34905379106129,23,Watch List,FALSE
55438,385358.0960083459,0.7713052473153814,11.22659435316705,25.23856704374553,106785.76932898285,24.33566082648225,-4.512869973360109,3915.7020563770793,20.045081636082752,6.595701517945808,NA,NA,NA,1675.1666666666667,2026-03-31,154698.91304849615,251394.63652900665,443087.46622721263,556947.3774314831,683244.7723167334,528545.8592682373,62.50575493713883,76.2517579312349,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,443087.46622721263,556947.3774314831,683244.7723167334,FALSE,3915.7020563770793,-4.512869973360109,FALSE,1675.1666666666667,0.7713052473153814,3.610287768893583,4.60383764584571,0.7713052473153814,3.610287768893583,4.60383764584571,NA,24.33566082648225,-4.512869973360109,2.8650313555792444,70.35669322720145,47.03448257677083,75.26028271288384,71.35276968491833,24.732837880799096,0.04539201108842228,NA,NA,24.22470918013932,86.61641406773309,40.806638262814445,40.806638262814445,24,Watch List,FALSE
55426,356242.8107773562,2.9354162210396364,10.887030279961902,24.431080609006052,101287.864573497,35.803274889038896,1.3482469830844883,3486.879603399433,34.09336783137092,5.4438463959710415,NA,NA,NA,1697.1566666666668,2026-03-31,147910.38540881046,278823.6745378521,376640.1851103993,454963.557684082,611047.2592878132,463136.8738790027,88.50851734799392,35.08185262054137,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,376640.1851103993,454963.557684082,611047.2592878132,FALSE,3486.879603399433,1.3482469830844883,FALSE,1697.1566666666668,2.9354162210396364,3.504742882053602,4.468599963626385,2.9354162210396364,3.504742882053602,4.468599963626385,NA,35.803274889038896,1.3482469830844883,3.54644282109191,82.58030990168302,91.50657615505413,73.72819708184693,69.04894084007218,54.145380903494235,33.750378462365724,NA,NA,25.306466624398418,66.89723087280831,40.54081078416038,40.54081078416038,25,Watch List,FALSE
