zip_code,current_price,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods
55404,243157.9144838853,0.19372542233300732,-5.371977732114506,2.662948065793748,48889.36044163189,65.11082775350502,1.8121759814028087,3595.866635249764,81.75210884937395,3.3440285444997984,89.25677052335837,240.27474138121596,755.3333333333333,1328.8170924935632,2026-03-31,176738.38568508867,271251.1515132072,279188.17291425605,289927.17789921747,412111.2612063706,235372.87552128194,53.4760830035648,2.9260784172790575,TRUE,TRUE,TRUE,TRUE,TRUE,100,Ventura Village / Midtown Phillips / Elliot Park / Whittier
55422,325551.41127484775,1.8545325844079266,10.761965563609358,27.378703948635707,99761.87267284805,38.16348699029508,-0.32797730672732994,4325.545228882237,26.952657745729265,6.256625538439074,NA,NA,NA,1676.9166666666667,2026-03-31,194775.924435767,280682.758960191,336778.04797030403,414693.965643129,540478.610083175,345702.685647408,44.105468770476435,19.985299139114204,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55426,356242.8107773562,2.9354162210396364,10.887030279961902,24.431080609006052,101287.86457349699,35.803274889038896,1.3482469830844883,3486.879603399433,34.09336783137092,5.4438463959710415,NA,NA,NA,1697.1566666666668,2026-03-31,147910.38540881046,278823.6745378521,376640.1851103993,454963.557684082,611047.2592878132,463136.87387900276,88.50851734799392,35.08185262054137,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55427,352270.3258992019,1.3304224222287053,11.683373357720026,26.752807040698563,85669.61660280974,16.00805185748972,3.1062520574623824,4758.131460195828,34.66849217789668,6.242009365687527,NA,NA,NA,1569.613834422658,2026-03-31,117228.41092823465,299181.9245210397,362110.2048183184,421268.0826478603,486395.1531128302,369166.74218459555,155.21281245055357,21.033449931181703,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55446,597616.272004271,1.0255338868003347,16.576622115166572,30.755153181763927,112554.87594936708,26.590436876109823,8.204146475429928,988.771967082559,40.93886173086836,5.56126582278481,NA,NA,NA,2064.196127946128,2026-03-31,NA,315738.5624651331,465628.974234371,740682.5790828274,901692.9107054184,NA,NA,47.47295059525402,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55412,223272.43862975013,0.9625456763860143,5.7926488038502715,21.916050221752677,76082.29479517546,64.71941718942068,10.622301446210754,4266.554601760296,26.50323888358082,6.013354340975767,63.52726554133484,16.025704220440076,636.6666666666666,1898.222222222222,2026-03-31,151907.7913180904,201902.0116225757,244119.04391965247,268243.5894546813,285834.62048001733,133926.82916192693,32.910899349328886,20.909664028506526,TRUE,TRUE,TRUE,TRUE,TRUE,100,Webber - Camden / Victory / Cleveland / Folwell / McKinley
55417,362243.7147349823,3.53333156944132,9.81437975880554,22.29034134437856,118149.9440742303,34.608978758372245,-1.5948821001773212,3806.949978911852,16.99474036176366,6.2543315056938,31.965794213786005,140.94760565278594,1139.3333333333333,1970.4666666666665,2026-03-31,203731.82386980168,299407.2985749783,397623.6320443184,489553.9415742426,551281.453039165,347549.6291693633,46.96147753839365,32.803586932181794,TRUE,TRUE,TRUE,TRUE,TRUE,100,Minnehaha / Diamond Lake / Hale / Keewaydin / Wenonah / Morris Park
55420,318653.3252107078,3.0540255401198233,12.508641335823652,28.40786150417735,74732.04248241779,32.78941937048709,4.608777151126428,4389.466736361908,37.785216584659494,5.624139897357917,NA,NA,NA,1182.7260019887228,2026-02-28,182021.2966001976,292062.789823182,336672.71951731126,377148.08329535153,408122.04560128873,226100.74900109114,60.455284781695674,15.27408874000574,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
55430,272026.68464060576,2.8726166834937583,11.78410286255521,31.095540567366648,81301.70596616207,53.6882083350547,-1.4456579011630672,2419.422051461171,20.244761809160902,5.962226179875334,10.135135135135133,78.94236411335203,210,1819,2026-03-31,165669.61934394864,227129.02475454964,281217.54919546895,318511.369879655,346514.31608550466,180844.69674155602,37.09757145213475,23.814008138929353,TRUE,TRUE,TRUE,TRUE,TRUE,100,Shingle Creek / Lind - Bohanon / Humboldt Industrial Area / Camden Industrial
55447,471525.99053040333,1.5218037851162292,14.680637561563195,30.760180914809325,122052.45569620254,28.969399992232304,-0.2908636445292462,4510.241793606522,24.222902998639505,6.546170349710363,NA,NA,NA,1826.7310606060607,2026-03-31,NA,281571.9002271403,463475.3209742158,613449.9683723928,750519.2221937048,NA,NA,64.60283167472906,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA
