zip_code,current_price,pct_change_1yr,pct_change_3yr,pct_change_5yr,income_2023,income_growth_pct,pop_change_pct,population_2023,pct_renter_2023,median_rooms_2023,permit_growth_pct,value_growth_pct,recent_permit_count,monthly_rent_estimate,rent_data_date,price_1bed,price_2bed,price_3bed,price_4bed,price_5bed,bed_price_spread,price_2bed_premium,price_3bed_premium,has_price_data,has_census_data,has_permit_data,has_rent_data,has_bedroom_data,data_completeness,neighborhoods,bedroom_data_reliable,price_3bed_clean,price_4bed_clean,price_5bed_clean,low_pop_flag,population_2023_clean,pop_change_pct_clean,rent_imputed,monthly_rent_final,pct_change_1yr_ann,pct_change_3yr_ann,pct_change_5yr_ann,pct_change_1yr_w,pct_change_3yr_w,pct_change_5yr_w,permit_growth_pct_w,income_growth_pct_w,pop_change_pct_w,price_blend_raw,score_price_blend,score_price_1yr_ann,score_price_3yr_ann,score_price_5yr_ann,score_income_growth,score_pop_change,score_permit_growth,score_permit_volume,score_rent_level,score_pct_renter,investment_score_raw,investment_score,rank,score_tier,is_mpls_city
55410,591081.8281702795,4.225060803381013,10.297300060119175,20.000739329529015,145038.3108472747,25.29180392896987,4.945218471887333,4347.658931462493,22.682469268636396,6.823885590933621,17.10227950829454,3.220398450897026,880,2505.361904761905,2026-03-31,214821.10637104817,434658.5480367777,558422.2725212041,774118.5872722544,1200029.6747789572,985208.568407909,102.33512217650387,28.473781326383666,TRUE,TRUE,TRUE,TRUE,TRUE,100,Fulton / Linden Hills / Armatage,TRUE,558422.2725212041,774118.5872722544,1200029.6747789572,FALSE,4347.658931462493,4.945218471887333,FALSE,2505.361904761905,4.225060803381013,3.320926960329884,3.7138567310537995,3.6132592500613456,3.263076315854474,3.7138567310537995,17.10227950829454,25.29180392896987,4.945218471887333,3.4983354466267103,97.53500695665822,100,100,90.92822047988706,27.185187601007637,54.43515172259313,23.38612080790796,31.354581673306782,60.00380797643112,82.9143874176925,52.53584584441195,52.53584584441195,11,Moderate Opportunity,TRUE
55418,346802.81103506376,1.3879202526759955,5.509256375742772,11.011515941846223,96958.857418882,40.28605110079206,2.1024791682752224,3362.042824843729,35.452222196120445,5.616510093943634,33.610652669073794,177.47217180501082,824.3333333333334,1745.288888888889,2026-03-31,178008.79879643905,288096.46581329947,358632.55308964197,413520.8616038197,467966.8490680908,289958.0502716517,61.84394690666417,24.483496205765093,TRUE,TRUE,TRUE,TRUE,TRUE,100,Bottineau / Holland / Audubon Park / Windom Park / Columbia Park / Waite Park / Marshall Terrace,TRUE,358632.55308964197,413520.8616038197,467966.8490680908,FALSE,3362.042824843729,2.1024791682752224,FALSE,1745.288888888889,1.3879202526759955,1.803690210093456,2.111253290921966,1.3879202526759955,1.803690210093456,2.111253290921966,33.610652669073794,40.28605110079206,2.1024791682752224,1.7350614952044723,63.76249488256074,63.69156556941763,64.77514947413559,62.6868061874006,65.6429642255396,38.08767215090385,34.8629672553625,29.136786188579023,25.52169903255158,64.98984531835495,51.9049625482139,51.9049625482139,12,Moderate Opportunity,TRUE
55411,241709.03166408345,1.7781607114599929,4.123334348303124,7.93406603557708,57115.73294059891,41.34411961039279,-4.670738534596333,2416.684610624945,43.8289779628812,5.612449680903288,46.920825538062616,47.2990450338593,941.6666666666669,1899.0317460317465,2026-03-31,NA,193295.42475815947,239447.25412304708,267701.8462131102,284047.19547757483,NA,NA,23.87631751896364,TRUE,TRUE,TRUE,TRUE,TRUE,100,Sumner - Glenwood / Jordan / Hawthorne / Willard - Hay / Near - North,TRUE,239447.25412304708,267701.8462131102,284047.19547757483,FALSE,2416.684610624945,-4.670738534596333,FALSE,1899.0317460317465,1.7781607114599929,1.355974994637421,1.5387254246914228,1.7781607114599929,1.355974994637421,1.5387254246914228,46.920825538062616,41.34411961039279,-4.52076340142192,1.5494276030388217,60.206993561016596,70.05869440981766,53.96875527842674,52.597599925070384,68.35673584270651,0,44.11638118771689,33.81142098273573,32.49652623813812,53.231629458594014,48.2779955894537,48.2779955894537,13,Watch List,TRUE
55409,368439.3297176694,3.087712507242978,7.588487795944668,9.25726035156296,101223.64277631084,33.39872619567825,-3.6157202441204976,3447.794794417201,35.3424230864467,5.856393813655225,72.68947187928669,192.94275822665708,431.66666666666663,1557.5925925925928,2026-03-31,156809.51949707547,277157.266893908,391035.5965904246,494979.6911173654,601507.2721932711,444697.7526961956,76.7477304839755,41.08798263626539,TRUE,TRUE,TRUE,TRUE,TRUE,100,King Field / Bryant,TRUE,391035.5965904246,494979.6911173654,601507.2721932711,FALSE,3447.794794417201,-3.6157202441204976,FALSE,1557.5925925925928,3.087712507242978,2.4680805772986814,1.786471911966947,3.087712507242978,2.4680805772986814,1.786471911966947,72.68947187928669,33.39872619567825,-3.6157202441204976,2.5145495864462513,78.69226285868521,91.42522578616253,80.81137955967857,56.96344053881619,47.978109184387584,5.204548481347819,62.031096001628306,13.492695883134132,17.006511672798148,65.14396723245878,48.09233052028269,48.09233052028269,14,Watch List,TRUE
55443,379937.7027725137,0.1763496265374993,2.411624749921477,13.815546870277966,106513.47886734548,28.82911436061377,8.96582516743622,3004.411991531831,18.064399973648804,6.694810991770121,NA,NA,NA,1495.3452380952378,2026-03-31,NA,288201.6597825918,353133.51343693415,449590.06881397095,501137.4914857347,NA,NA,22.530006837338977,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,353133.51343693415,449590.06881397095,501137.4914857347,FALSE,3004.411991531831,8.96582516743622,FALSE,1495.3452380952378,0.1763496265374993,0.7974979793324621,2.6219630260050364,0.1763496265374993,0.7974979793324621,2.6219630260050364,NA,28.82911436061377,8.96582516743622,1.0362123175223688,50.3772280769093,43.92368629850417,40.488930228297406,71.68664036378331,36.257806777743255,77.55608502019349,NA,NA,14.182546061046072,89.39664106549053,47.59714933580685,47.59714933580685,15,Watch List,FALSE
55436,630392.6825119396,3.1046885549373275,9.55787697530971,23.842355983566755,144098.86978774652,28.799650841359455,8.806276948010396,5530.626524160771,23.103398225167325,7.08083697124793,NA,NA,NA,1741.3989898989896,2026-03-31,143517.42732685758,268328.48975867545,608807.5212840202,823824.2249869289,1258883.2452605795,1115365.817933722,86.96578858507796,126.88888601861052,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,608807.5212840202,823824.2249869289,1258883.2452605795,FALSE,5530.626524160771,8.806276948010396,FALSE,1741.3989898989896,3.1046885549373275,3.0895243824282437,4.3695572397723925,3.1046885549373275,3.0895243824282437,4.228649117740979,NA,28.799650841359455,8.806276948010396,3.3796130266346065,95.26108102506073,91.70220548018888,95.81101883231523,100,36.1822376992113,76.63858574249014,NA,NA,25.345226617468757,82.32354131087942,45.26505468219198,45.26505468219198,16,Watch List,FALSE
55422,339105.1589293433,2.290402568841338,6.0950629102007925,15.373340845584895,99761.87267284804,38.16348699029508,-0.32797730672732994,4325.545228882237,26.952657745729265,6.256625538439074,NA,NA,NA,1676.9166666666667,2026-03-31,194775.924435767,280682.758960191,336778.04797030403,414693.965643129,540478.610083175,345702.685647408,44.105468770476435,19.985299139114204,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,336778.04797030403,414693.965643129,540478.610083175,FALSE,4325.545228882237,-0.32797730672732994,FALSE,1676.9166666666667,2.290402568841338,1.9917534375495372,2.901355035950659,2.290402568841338,1.9917534375495372,2.901355035950659,NA,38.16348699029508,-0.32797730672732994,2.323681033101948,75.0365005097963,78.41638728860275,69.31438624663978,76.61014502207591,60.198936559639705,24.111069539296413,NA,NA,22.41986754246262,76.9204442643352,45.13451187174998,45.13451187174998,17,Watch List,FALSE
55437,392724.9504930715,3.106213088740288,6.774992208194752,17.859866360205956,94944.77024698448,37.07257443188493,3.803069090188609,1282.2802337118287,28.970311433955924,6.345031591039632,NA,NA,NA,1637.3005698005695,2026-03-31,155886.25494833893,280922.7303418739,391503.3917539545,475567.8647278068,535804.4052162193,379918.1502678803,80.21007075638089,39.363372724416976,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,391503.3917539545,475567.8647278068,535804.4052162193,FALSE,1282.2802337118287,3.803069090188609,FALSE,1637.3005698005695,3.106213088740288,2.2091671522503242,3.341125899161468,3.106213088740288,2.2091671522503242,3.341125899161468,NA,37.07257443188493,3.803069090188609,2.8061229167495974,84.27685384649624,91.7270796389966,74.5620486523433,84.35987950453726,57.40092536191342,47.86709827449365,NA,NA,20.622610516439906,74.0883206765198,44.53999878253729,44.53999878253729,18,Watch List,FALSE
55445,358021.8426923183,2.358673862435132,5.27241835779399,17.097310051611238,99667.38028169012,30.805262263741383,6.8439958510572545,7518.162076939247,25.821319175858733,6.2696237124237975,NA,NA,NA,NA,NA,NA,224305.52156013896,355926.7600918908,409171.7121634779,468950.95490882295,NA,NA,58.67944650504854,TRUE,TRUE,FALSE,FALSE,TRUE,66.66666666666666,NA,TRUE,355926.7600918908,409171.7121634779,468950.95490882295,FALSE,7518.162076939247,6.8439958510572545,TRUE,1790.1092134615917,2.358673862435132,1.7274597815424064,3.2070545323518163,2.358673862435132,1.7274597815424064,3.2070545323518163,NA,30.805262263741383,6.8439958510572545,2.318283397557213,74.93311798579366,79.53029568182004,62.93519400201393,81.9972457300086,41.3263009651899,65.35427623665775,NA,NA,27.555055410873763,78.50847231306928,44.31411570064226,44.31411570064226,19,Watch List,FALSE
55447,493662.0035067676,1.5751466616777874,6.2877933829395545,20.0643748998697,122052.45569620254,28.969399992232304,-0.2908636445292462,4510.241793606522,24.222902998639505,6.546170349710363,NA,NA,NA,1826.7310606060607,2026-03-31,NA,281571.9002271403,463475.3209742158,613449.9683723928,750519.2221937048,NA,NA,64.60283167472906,TRUE,TRUE,FALSE,TRUE,TRUE,66.66666666666666,NA,TRUE,463475.3209742158,613449.9683723928,750519.2221937048,FALSE,4510.241793606522,-0.2908636445292462,FALSE,1826.7310606060607,1.5751466616777874,2.0534749022663723,3.724854148164347,1.5751466616777874,2.0534749022663723,3.724854148164347,NA,28.969399992232304,-0.2908636445292462,2.3039048295348614,74.65772098253649,66.74633511369925,70.80414235731222,91.12201927314355,36.617616338209594,24.3244956645281,NA,NA,29.216472796559064,80.7521240284571,42.30142130207912,42.30142130207912,20,Watch List,FALSE
